Index,Organization Id,Name,Industry,Number of employees,Founded
98,E7df80C60Abd7f9,Clements-Espinoza,Broadcast Media,236,1991
99,AFc285dbE2fEd24,Mendez Inc,Education Management,339,1993
61,bD1bc6bB6d1FeD3,Freeman-Chen,International Trade / Development,346,1973
31,ccBcC32adcbc530,"Sloan, Mays and Whitehead",Civil Engineering,365,1997
70,902D7Ac8b6d476b,Newton Inc,Military Industry,563,1976
66,fdFbecbadcdCdf1,"Wilkinson, Charles and Arroyo",Building Materials,602,1996
73,dfcA1c84AdB61Ac,Mccall-Holmes,Legal Services,696,2009
15,C8AC1eaf9C036F4,Pacheco-Spears,Maritime,769,1984
78,dd6CA3d0bc3cAfc,"Beasley, Greene and Mahoney",Religious Institutions,869,1976
92,4e0719FBE38e0aB,Miles-Dominguez,Civic / Social Organization,897,1996
4,2bFC1Be8a4ce42f,Holder-Sellers,Automotive,921,2004
28,88b1f1cDcf59a37,Prince-David,Banking / Mortgage,1046,1970
25,5fDBeA8BB91a000,Jenkins Inc,Insurance,1215,2002
36,4D4d7E18321eaeC,Pineda-Cox,Human Resources / HR,1312,2010
56,B9BdfEB6D3Ca44E,Sampson Ltd,Farming,1418,2005
94,61BDeCfeFD0cEF5,"Valenzuela, Holmes and Rowland",Transportation,1483,1999
37,485f5d06B938F2b,"Baker, Mccann and Macdonald",Legislative Office,1638,2013
42,dF084FbBb613eea,Walls LLC,Investment Management / Hedge Fund / Private Equity,1678,1989
46,1eD64cFe986BBbE,Walton-Barnett,Luxury Goods / Jewelry,1746,2001
54,f8D4B99e11fAF5D,Odom Ltd,Management Consulting,1825,2012
90,F4Dc1417BC6cb8f,Gilbert-Simon,Newspapers / Journalism,1927,1973
49,7b3fe6e7E72bFa4,Berg-Sparks,Arts / Crafts,2073,1974
22,Aad86a4F0385F2d,Harrell LLC,Construction,2185,2018
86,B97a6CF9bf5983C,Davila Inc,Consumer Electronics,2215,2017
35,9E6Acb51e3F9d6F,"Glass, Barrera and Turner",Utilities,2610,2020
100,e9eB5A60Cef8354,Watkins-Kaiser,Financial Services,2785,2009
13,8D0c29189C9798B,"Keller, Campos and Black",Museums / Institutions,2862,2020
85,e0E8e27eAc9CAd5,"George, Russo and Guerra",Military Industry,2880,1989
67,5DCb8A5a5ca03c0,Floyd Ltd,Public Relations / PR,2911,2017
96,0a0bfFbBbB8eC7c,Holmes Group,Photography,2988,1975
63,Dfef38C51D8DAe3,"Poole, Cruz and Whitney",Marketing / Advertising / Sales,2992,1978
27,4B217cC5a0674C5,"Dickson, Richmond and Clay",Real Estate / Mortgage,3122,1980
53,EF5B55FadccB8Fe,Charles-Phillips,Mental Health Care,3450,2012
1,FAB0d41d5b5d22c,Ferrell LLC,Plastics,3498,1990
51,7D9FBF85cdC3871,Lawson and Sons,Arts / Crafts,3527,2021
40,AC5B7AA74Aa4A2E,"Valentine, Ferguson and Kramer",Non - Profit / Volunteering,3585,1997
39,6883A965c7b68F7,Hahn PLC,Electrical / Electronic Manufacturing,3715,2012
43,A2D89Ab9bCcAd4e,"Mitchell, Warren and Schneider",Capital Markets / Hedge Fund / Private Equity,3816,2021
91,7ABc3c7ecA03B34,Sampson-Griffith,Textiles,3881,1972
68,ce57DCbcFD6d618,Newman-Galloway,Information Technology / IT,3934,1987
47,CbBbFcdd0eaE2cF,Bartlett-Arroyo,Civic / Social Organization,3987,1976
82,bC0CEd48A8000E0,Velazquez-Odom,Alternative Dispute Resolution,4044,2002
30,7Cb3AeFcE4Ba31e,Rivas Group,Logistics / Procurement,4155,1998
97,BA6Cd9Dae2Efd62,Good Ltd,Consumer Services,4292,1971
8,ccc93DCF81a31CD,Mcintosh-Mora,Import / Export,4389,1970
33,38C6cfC5074Fa5e,Fritz-Franklin,Hospitality,4516,1972
18,5c2EffEfdba2BdF,Mckenzie-Melton,Investment Management / Hedge Fund / Private Equity,4589,1998
95,4e91eD25f486110,"Best, Wade and Shepard",Gambling / Casinos,4873,1991
6,cC757116fe1C085,Henry-Thompson,Primary / Secondary Education,4914,1992
26,dFfD6a6F9AC2d9C,"Greene, Benjamin and Novak",Museums / Institutions,4941,2012
55,e24D21BFd3bF1E5,Richard PLC,Broadcast Media,4942,1971
2,6A7EdDEA9FaDC52,"Mckinney, Riley and Day",Glass / Ceramics / Concrete,4952,2015
74,208044AC2fe52F3,Massey LLC,Accounting,5004,1986
21,8de40AC4e6EaCa4,"Velez, Payne and Coffey",Wholesale,5010,1986
24,5Ec4C272bCf085c,Robbins-Cummings,Pharmaceuticals,5038,1991
69,5aaD187dc929371,Frazier-Butler,Outsourcing / Offshoring,5130,1972
3,0bFED1ADAE4bcC1,Hester Ltd,Public Safety,5287,1971
84,FEC51bce8421a7b,"Roberson, Pennington and Palmer",Telecommunications,5571,1993
87,a0a6f9b3DbcBEb5,Mays-Preston,Military Industry,5786,2006
20,c1Ce9B350BAc66b,Weiss and Sons,Plastics,5984,2011
32,f5afd686b3d05F5,"Durham, Allen and Barnes",Mechanical or Industrial Engineering,6135,1993
71,32BB9Ff4d939788,Duffy-Levy,Wireless,6146,1982
88,8cC1bDa330a5871,Pineda-Morton,Printing,6168,1991
79,A0B9d56e61070e3,"Beasley, Sims and Allison",Facilities Services,6182,1972
72,adcB0afbE58bAe3,Wagner LLC,International Affairs,6874,1987
60,aAeb29ad43886C6,Potter-Walsh,Human Resources / HR,6923,2008
17,68139b5C4De03B4,"Bowers, Guerra and Krause",Primary / Secondary Education,6986,1972
76,ec5Bdd3CBAfaB93,"Cole, Russell and Avery",Law Enforcement,7012,2000
83,c89b9b59BC4baa1,Eaton-Morales,Capital Markets / Hedge Fund / Private Equity,7013,1990
45,235fdEFE2cfDa5F,Brock-Blackwell,Online Publishing,7034,1986
57,2a74D6f3D3B268e,"Cherry, Le and Callahan",Entertainment / Movie Production,7202,2017
34,5Cd7efccCcba38f,Burch-Ewing,Venture Capital / VC,7443,1981
11,AE61b8Ffebbc476,Kidd Group,Primary / Secondary Education,7473,2001
89,ED889CB2FE9cbd3,Huang and Sons,Semiconductors,7484,1981
77,DDB19Be7eeB56B4,Cummings-Rojas,Financial Services,7529,2012
44,77aDc905434a49f,Prince PLC,Individual / Family Services,7645,2016
29,f9F7bBCAEeC360F,Ayala LLC,Legal Services,7664,2021
80,cBa7EFe5D05Adaf,Crawford-Rivera,Online Publishing,7805,1999
65,cBfe4dbAE1699da,"Erickson, Andrews and Bailey",Consumer Electronics,7829,2014
7,219233e8aFF1BC3,Hansen-Everett,Publishing Industry,7832,2018
5,9eE8A6a4Eb96C24,Mayer Group,Transportation,7870,1991
19,ba179F19F7925f5,Branch-Mann,Architecture / Planning,7961,1999
9,0B4F93aA06ED03e,Carr Inc,Plastics,8167,1996
93,dEbDAAeDfaed00A,Rowe and Sons,Facilities Services,8172,1978
58,Bf3F3f62c8aBC33,Cherry PLC,Plastics,8245,1980
81,Ea3f6D52Ec73563,Montes-Hensley,Printing,8433,2009
52,7dd18Fb7cB07b65,"Mcguire, Mcconnell and Olsen",Printing,8445,1988
75,f3C365f0c1A0623,Hicks LLC,Computer Software / Engineering,8480,1970
16,b5D10A14f7a8AfE,Hodge-Ayers,Facilities Services,8508,1990
59,aeBe26B80a7a23c,Melton-Nichols,Legislative Office,8741,2021
23,22aC3FFd64fD703,"Eaton, Reynolds and Vargas",Luxury Goods / Jewelry,8987,2014
12,eb3B7D06cCdD609,Crane-Clarke,Food / Beverages,9011,2014
41,decab0D5027CA6a,Arroyo Inc,Writing / Editing,9067,2006
50,c6DedA82A8aef7E,Gonzales Ltd,Consumer Goods,9069,1988
14,D2c91cc03CA394c,Glover-Pope,Medical Practice,9079,2013
62,EB9f456e8b7022a,Soto Group,Business Supplies / Equipment,9097,1988
64,055ffEfB2Dd95B0,Riley Ltd,Textiles,9315,1986
48,49aECbDaE6aBD53,"Wallace, Madden and Morris",Pharmaceuticals,9443,2016
10,738b5aDe6B1C6A5,Gaines Inc,Outsourcing / Offshoring,9698,1997
38,19E3a5Bf6dBDc4F,Cuevas-Moss,Music,9995,1994
